id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,like
1k4OsQujxXPLij0ZsTFlMx,"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",0.521,0.446,0,-7.696,1,0.0354,0.827,0.000102,0.343,0.33,113.78,4,1
3FtYbEfBqAlGO46NUDQSAt,Electric Feel,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,3,1
7KXL3yfanDowu6shK3Vl0d,La Vida Ruina (feat. Ariel Camacho),0.73,0.565,4,-4.501,1,0.0285,0.287,0.0,0.352,0.914,99.96,1,0
50DMG6AvtNzbrxMc62w6ph,Bold as Love,0.439,0.59,1,-6.407,1,0.0417,0.0995,0.00221,0.0718,0.4,125.897,4,1
5cR7culxUEPLhzIC0KWAH1,Perdoname (feat. DyCy & Adrian Delgado),0.855,0.856,9,-2.574,0,0.105,0.000926,0.00271,0.959,0.516,127.989,4,0
17Jg504RgNPNgdpRkJh9Co,Always Alright,0.693,0.62,9,-6.509,1,0.0424,0.784,0.844,0.112,0.571,106.346,4,1
4yMT3mbUsiukLDRqPfQ9rN,Losing My Way,0.838,0.432,6,-14.398,1,0.228,0.562,0.363,0.0987,0.127,99.978,4,1
2Zd6b65x3cKAYE4gtkjqpj,Hurt Feelings,0.897,0.594,1,-7.406,1,0.266,0.0791,0.0,0.438,0.566,106.0,4,1
5GChYjT0HJVDtJMjcfhYmS,La Pregunta,0.739,0.643,8,-6.348,0,0.15,0.0688,0.0,0.0789,0.834,172.048,4,0
4U2YLbeEqiAQwLja706mkI,Sombrita - Lauer & Canard feat. Greg Note Remix,0.801,0.712,6,-5.233,0,0.0481,0.000128,0.0718,0.0638,0.933,127.982,4,0
0zUhiB16gAfF4s2oGzIADX,Dance With My Demons,0.376,0.864,9,-3.969,1,0.0513,0.0284,0.0285,0.0476,0.335,171.062,4,1
62NeZ2Vtrz5HgtQibleMNs,Diablita (feat. Anuel AA & Baby Rasta),0.807,0.631,8,-4.883,1,0.111,0.407,0.0,0.117,0.126,129.902,4,0
2sA4woGW5KgEgGXXxOKPAZ,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,0.752,0.748,6,-3.755,1,0.0895,0.289,0.0,0.105,0.497,115.01,4,0
74lfGn1j0rBJ3YqR2mo4oU,Paracetamol,0.489,0.681,7,-6.32,1,0.0294,0.1,9.02e-06,0.637,0.132,83.996,4,1
6Jl3ZOX6MUOlyoUc721bsX,A Song About Being Sad,0.567,0.263,5,-13.51,1,0.103,0.891,0.0,0.183,0.247,111.86,4,1
3UxA34eO5Ueii16F9FklMY,Anyway,0.583,0.711,0,-7.878,1,0.0309,0.00348,0.362,0.128,0.661,149.971,4,1
1QFgAXQrjyXkOTTOZvwrQT,I Haven't Got My Strange,0.563,0.883,9,-7.373,1,0.097,0.000419,0.0246,0.283,0.583,142.996,4,1
4sM3pdakHiLDk9ZsZgUJhw,Ven Que Te Quiero Ver,0.79,0.425,9,-11.076,1,0.244,0.486,0.0,0.0913,0.438,92.988,4,1
0P6GPDe3093RggSntHqQcR,Narrator,0.434,0.725,2,-6.532,0,0.0734,0.00127,0.0481,0.667,0.372,133.584,4,1
63cNIqiYClDvGsvyxaAfA3,coRaZÓn fRíO,0.791,0.676,4,-4.172,0,0.0466,0.0865,0.0,0.0999,0.832,115.96,4,0
3o3bRIOKDwGOdqL9HBUNrO,Love Me Like This,0.803,0.805,8,-4.167,0,0.064,0.00805,0.0,0.0641,0.652,97.031,4,0
1P7hMSbpJOQy58eC78qx7s,"Better Off (Alone, Pt. III)",0.51,0.691,9,-5.199,0,0.0449,0.0321,0.0,0.151,0.372,129.852,4,0
7JFaYcLw7OtS8Oucts6i4h,A TV Show Called Earth - Acoustic,0.721,0.161,5,-15.374,0,0.0409,0.864,7.38e-06,0.0926,0.764,96.745,4,1
0E47pBZ2vm2NkEDKONAIuo,Reina Japonesa,0.331,0.579,7,-5.703,1,0.026,0.403,0.000251,0.111,0.274,102.733,4,1
3tEJZO2wMtvhQH5EKfKbkh,Nacimos Pa Morir (feat. Jory Boy),0.588,0.692,0,-6.798,1,0.15,0.41,0.000864,0.302,0.486,179.937,4,0
4xOwXgFblfFi56IVkAdmdg,Me Gustas Mucho,0.643,0.356,5,-7.795,1,0.0351,0.419,0.0,0.212,0.968,120.583,4,0
4QWcNkQmJxQwxKTdytjSGs,Where to Begin,0.476,0.291,5,-9.868,1,0.028,0.605,0.0486,0.113,0.272,130.042,3,1
0jeJR3LdrC2QJNviq7wjzp,In Cold Blood,0.495,0.745,11,-5.475,0,0.035,0.142,0.000441,0.194,0.589,143.398,4,1
5rze2QOIfM3Frrt6GhK6NA,Sketch For The Face Of Helen,0.0665,0.0873,1,-14.388,1,0.0423,0.0441,0.752,0.112,0.0371,77.018,4,1
67LNc70FgGcKHgRQtn3o33,Ayer,0.784,0.665,2,-4.9,1,0.0806,0.336,2.95e-05,0.0953,0.763,91.969,4,0
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,4,0
5lr877wwUsB8inLGywHKxa,Caile,0.761,0.551,1,-7.034,0,0.103,0.15,1.15e-06,0.0768,0.351,129.972,4,0
6qFtL8Vsu49LgYcqle4GUP,Golden Brown,0.618,0.287,1,-12.991,1,0.0324,0.411,5.35e-05,0.143,0.731,92.353,3,1
7872cFHghdtEzDf8vokfWh,Si Tú Supieras,0.532,0.563,9,-8.049,1,0.0355,0.882,9.69e-05,0.339,0.377,87.104,4,0
4Ai0ANRDYwx6mCD4Uty1WS,Piledriver Waltz,0.443,0.865,4,-4.547,1,0.0391,0.00724,0.000116,0.468,0.474,110.008,4,1
6uz1BQZfLIoNvnN3efNh75,Cloudy Freestyle,0.657,0.725,1,-6.097,0,0.0891,0.283,0.0,0.277,0.358,100.128,4,0
3XLjmLKO9mLCxZZgDDFY8z,Julian 19,0.61,0.295,7,-10.585,1,0.0358,0.587,1.84e-06,0.231,0.582,90.17,4,1
1hbZfk1lXho0nXFihpGimD,Nieve en Primavera,0.535,0.279,9,-15.015,1,0.0388,0.961,0.054,0.115,0.162,100.581,4,1
754kgU5rWscRTfvlsuEwFp,Kiss Me,0.526,0.749,3,-6.964,1,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,4,1
0b37r8i1Mkcu3ICfjCvfpQ,In Blue,0.578,0.456,0,-10.155,1,0.0243,0.168,0.00306,0.202,0.276,96.979,4,1
3or3oEITvJmMwZRYeWSaen,Dancing with Tears in My Eyes,0.588,0.908,9,-8.117,1,0.0431,0.151,0.000248,0.596,0.926,143.96,4,1
6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),0.9,0.4,0,-8.575,1,0.127,0.0516,0.0,0.0599,0.346,135.984,4,0
0hAMkY2kwdXPPDfQ1e3BmJ,Dancing Shoes,0.522,0.889,1,-4.137,1,0.0461,0.00328,0.0,0.345,0.852,144.499,4,1
2mnx4umArCuQvPCxLuUpIn,Feral Bliss,0.67,0.866,5,-3.803,1,0.2,0.0778,0.0,0.129,0.454,109.945,4,0
6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),0.61,0.725,8,-5.131,1,0.15,0.367,0.0,0.154,0.291,146.163,4,0
2wXYAGCj2gA6biHi0W4xdJ,Everything_Now (continued),0.331,0.493,5,-7.814,1,0.0394,0.0167,0.00157,0.589,0.19,74.341,4,1
7nDIflSHQXzaa8zupxwv3U,Yo No Sé Mañana,0.653,0.827,4,-3.206,0,0.042,0.649,0.0,0.18,0.733,95.223,4,0
5Z8EDau8uNcP1E8JvmfkZe,School's Out,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,4,0
6Qb7gtV6Q4MnUjSbkFcopl,50 Ways to Leave Your Lover,0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,4,1
04xxb9KZ8APYxbeMPtgMPo,Soltera (feat. Alexio),0.78,0.524,9,-6.011,0,0.137,0.327,2.81e-05,0.175,0.88,79.817,4,0
6RYLBUeYqvUfyEcJrYKsep,El Sueño Pesa,0.443,0.688,9,-6.07,1,0.0351,0.0971,0.79,0.0835,0.104,84.034,4,1
1DugVl2BrUj7yhZ7eDP3b7,Thick as Thieves,0.605,0.479,11,-6.606,0,0.0327,0.23,1.04e-05,0.141,0.665,114.926,4,1
6jtNbVm2mpvbneHV4wwbEs,Te Quiero,0.61,0.734,1,-5.621,1,0.0331,0.006,0.0,0.276,0.48,84.016,4,0
2hd9kBPUOaD2HOsFqYb4Jj,New Light,0.849,0.177,7,-14.898,1,0.0562,0.625,9.32e-06,0.112,0.675,118.075,4,1
7Et3lvtsglBEN0lAGwp2Vz,Bibidi Babidibu,0.894,0.597,4,-6.313,0,0.114,0.256,0.0,0.103,0.61,99.975,4,0
5NORWMFC27ywGSZxi8uquP,Ophelia,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.02,4,1
4fP0RqHjhQAnA9PQMchA0S,Nena Fichu,0.69,0.69,9,-5.805,0,0.0481,0.216,0.0,0.291,0.886,171.966,4,0
4fSzIiMuqwFidNTHFTqbNR,Un Hombre Busca a Una Mujer,0.624,0.695,9,-12.47,1,0.0461,0.385,0.0,0.0637,0.775,98.022,4,0
4CZgaNdobtnTfBevPBje0c,Witches,0.576,0.719,8,-5.749,1,0.0583,0.0301,4.78e-06,0.116,0.729,73.122,4,1
37x0jGGt2DmpGSz6AsVePq,Indifference - Remastered,0.305,0.28,2,-12.697,1,0.0296,0.929,0.00185,0.117,0.245,102.758,4,1
5F6ekGcdu623mkhTVgk64Z,Amtrak,0.438,0.703,7,-7.069,1,0.0265,0.493,0.000979,0.0866,0.645,175.881,4,1
7F1oLjSguGBvqsJLal7Rad,Titanic,0.504,0.14,10,-12.318,1,0.0845,0.924,0.0,0.122,0.304,146.287,4,0
1Bw45KRmdKpX2pkIADDP0B,Walcott,0.482,0.559,5,-5.454,1,0.0296,0.541,0.00273,0.223,0.597,80.777,4,1
44EcdbANmj0h8hEmcpUq7R,Perdóname,0.675,0.821,9,-5.747,0,0.0308,0.243,0.0,0.19,0.407,95.027,4,0
3td69vL9Py7Ai9wfXYnvji,When You Die,0.645,0.938,11,-4.557,0,0.0391,0.0946,0.0226,0.159,0.495,140.886,4,1
3HzWxmvpQU3QHQ59zw1X4V,Heaven and Hell - 2009 Remaster,0.333,0.445,3,-16.343,0,0.0283,0.00858,0.0451,0.167,0.35,89.371,4,0
6zZWoHlF2zNSLUNLvx4GUl,Better Things,0.782,0.767,0,-5.383,1,0.0529,0.11,0.00323,0.496,0.548,115.027,4,0
7c3rkI2q4dS21tpyqrAjdN,Clint Eastwood,0.716,0.661,7,-7.806,1,0.115,0.104,0.00296,0.0639,0.672,170.013,4,1
66PmG4v0vV6GNYn6Juey4F,Durmiendo con la Luna,0.611,0.506,0,-7.831,1,0.0288,0.0117,1.3e-05,0.112,0.363,94.967,4,0
1sL3uwBndKVORWvxHq1RwR,Weeping,0.493,0.569,7,-7.588,0,0.0389,0.475,0.0469,0.107,0.0487,125.917,4,1
5HKv1sFHbXgmXBih203HxT,I Don't Wanna Be Okay Without You,0.532,0.319,5,-7.461,1,0.0288,0.399,2.52e-05,0.138,0.166,62.984,4,1
1cOboCuWYI2osTOfolMRS6,Tu Boda,0.694,0.651,6,-6.968,1,0.0784,0.496,1.36e-05,0.0787,0.471,112.648,3,0
31nfdEooLEq7dn3UMcIeB5,Vois sur ton chemin - Techno Mix,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,4,0
5kB6WithhB8Iv08EMNmAbt,Memory Lane,0.645,0.8,6,-4.272,1,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,4,0
4YqCBC4FwzGXuhixt5cgmm,Tra Tra Tra Remix - Remix,0.847,0.736,1,-4.542,1,0.266,0.0532,0.000142,0.0302,0.876,160.012,4,0
7MHN1aCFtLXjownGhvEQlF,Una Lady Como Tú,0.788,0.477,4,-7.348,1,0.0434,0.549,0.0,0.349,0.86,94.983,4,0
2l6f1QjCLYsGk6MtammiYJ,Smoke Your Lips,0.762,0.449,0,-10.517,1,0.0355,0.0421,0.00047,0.0448,0.34,96.022,4,1
7odU9tCsuse6QI3QUsG0hm,Some Days in Time,0.379,0.748,4,-6.961,1,0.0601,0.09,0.0449,0.0721,0.845,179.258,4,1
3A6nR4GSolo160nu7xtDk7,All My Favorite Songs (feat. AJR),0.605,0.7,4,-6.47,1,0.0277,0.00998,0.0,0.116,0.588,84.962,4,1
7GwXIkPT4jxQ2q6mhOmoHM,Simple Season,0.598,0.784,8,-4.376,1,0.0337,0.514,0.0,0.123,0.597,105.009,4,1
45CPr990TIIMIyxbswTmNm,Mais do Que Eu Sei Falar,0.552,0.463,1,-9.11,0,0.0371,0.212,1.42e-05,0.135,0.462,174.056,3,1
0bu5JByHKJbZELYKw0vCnN,Scarlet Paintings - Acoustic Version,0.482,0.819,11,-4.563,1,0.246,0.413,0.000646,0.0621,0.817,95.951,4,1
1m69ELEgE6k5ZWsap40ozt,Se Preparó,0.739,0.821,1,-4.233,1,0.0852,0.222,9.6e-06,0.311,0.693,171.077,4,0
7McZS9J6h0SKoZBR6cfcFe,Apocalypse,0.369,0.465,5,-9.017,1,0.0277,0.0211,0.6,0.109,0.177,94.435,4,1
55sLor5O8QGYkpa9jWe7NO,ろっかばいまいべいびい,0.569,0.219,11,-17.551,1,0.047,0.873,0.244,0.11,0.305,107.076,4,1
1zvtyxhAeUH8FxxRSCHg8T,Rayando el Sol,0.643,0.814,7,-3.288,1,0.0283,0.413,2.15e-06,0.185,0.489,112.69,4,0
2kd0T6zgABT8P0s2h9QU5O,Es Épico,0.665,0.816,0,-6.753,1,0.266,0.448,0.0,0.297,0.745,93.37,4,0
7K1P7jsHorl48ylUnuun48,El Castigo,0.811,0.668,5,-6.411,0,0.0421,0.136,0.0,0.119,0.754,91.013,4,1
0xOeB16JDbBJBJKSdHbElT,Rebellion (Lies),0.401,0.933,8,-5.682,1,0.0344,0.00744,0.627,0.318,0.734,127.193,4,1
4GspmdJjNjZKCHtjJ0fWxb,Emerald Eyes,0.567,0.421,6,-15.754,0,0.0301,0.383,0.011,0.266,0.618,73.563,4,1
7I1vlE14zJWh6u61bBHwZa,I'm Happy You're Here,0.281,0.531,7,-8.064,1,0.035,0.599,0.748,0.113,0.0493,137.706,4,1
2ECIwi1a7mfokdDkkJ08Ne,Loca - Remix,0.795,0.751,8,-3.661,1,0.0675,0.337,0.0,0.0983,0.537,113.033,4,0
7H0ya83CMmgFcOhw0UB6ow,Space Song,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,4,1
1CZw0Lymzi2Lvy1XZ6rXh5,Oxford Comma,0.692,0.717,0,-4.226,1,0.0498,0.111,0.00123,0.044,0.973,119.902,4,1
15hJmqqEtASVXl6sM7i4UF,trademark usa,0.615,0.6,10,-5.62,1,0.27,0.107,1.61e-06,0.283,0.0661,130.027,4,0
1W0IWU1XpPhNZ3hdxXK4IZ,Off You,0.471,0.102,10,-18.76,1,0.032,0.965,0.0271,0.108,0.0638,81.166,4,1
4LJVrzeDTUUmka5Cg39YUY,Magic,0.491,0.418,7,-8.838,1,0.0328,0.261,7.08e-06,0.129,0.124,89.491,4,1
78DVpEWwmJFC25KGz8fJuE,Clavado en Un Bar,0.634,0.854,11,-3.444,1,0.0369,0.00737,2.49e-06,0.0664,0.564,148.003,4,0
4I8ATtKjqwp7o3O2AzAmKr,Michael,0.428,0.871,6,-6.662,0,0.0421,0.00548,0.000299,0.208,0.78,158.474,4,1
3L53GnqFQYaSyGAcKESXgY,Goodbye,0.357,0.326,4,-7.198,0,0.0308,0.311,0.0057,0.107,0.0497,102.098,4,1
7mexukWpLrCVwAztkM8kQl,Stand On the Horizon,0.66,0.827,4,-4.015,0,0.0441,0.0996,0.0,0.115,0.576,123.364,4,1
7Bg90Jhm3Dhtu7m2YCpo6C,Children - Radio Edit,0.553,0.948,1,-9.628,1,0.037,0.00881,0.818,0.102,0.0389,134.996,4,0
3C7tm62iWcPuIbZRUp5AZU,Wild Side - 2021- Remaster,0.606,0.879,0,-5.203,1,0.0358,0.0101,0.000709,0.363,0.404,115.072,4,0
41g3tCnqP8yTauiPQPndVO,All The Rage Back Home,0.288,0.907,7,-5.753,1,0.0576,4.2e-05,0.579,0.277,0.349,84.483,4,1
709ffFK4o4MtG1NKoLvOma,Major Tom (Coming Home),0.787,0.42,4,-14.32,0,0.0645,0.153,0.164,0.169,0.838,161.247,4,1
1WLqzoKgwFax8UnLPHfhzA,The Eternal Tao 2.0,0.481,0.778,8,-4.022,1,0.0973,0.00634,1.1e-05,0.0906,0.438,135.448,4,1
42wmlSRWZ8OXeRx6CPUdqD,"Beethoven: Violin Concerto in D Major, Op. 61: I. Allegro ma non troppo (Cadenza by Kreisler)",0.289,0.131,2,-17.546,1,0.0461,0.95,0.622,0.073,0.102,114.827,4,1
4Du0BRUJvKybzxcRplp7HF,Leave Before The Lights Come On,0.365,0.887,0,-4.579,1,0.0417,0.00272,2.18e-05,0.0923,0.916,150.718,4,1
3wDuQSdgnr8gvqMG0s2bBS,City Hell,0.268,0.399,3,-7.574,1,0.0359,0.0061,0.0221,0.163,0.072,134.776,4,1
4Clmg1g8n2yBYG13Z1oSdG,Baila Conmigo (feat. Kelly Ruiz),0.745,0.972,7,-3.506,1,0.0774,0.00903,0.465,0.297,0.556,128.031,4,0
6rkeaQRCWZxwkjhyqgxjXi,Mouth for War,0.329,0.954,8,-7.006,0,0.0722,4.2e-06,0.000614,0.051,0.627,156.899,4,0
